name,email,phone,age,salary,address,signup_date,status
Daryl Smith,ksandoval@example.org,(947) 414-9397,20,18783,"43261 Johnson Crossroad Apt. 752 Matthewland, CT 78329",2021-04-02,active
Christina Chen,rodriguezanthony@example.net,(172) 586-3338,64,10940,   ,2021-07-14,pending
Michael Goodwin,ashley66@example.net,(824) 837-2962,32,18257,"5671 Warner Lodge Michelefort, CA 64354",2022-04-15,INACTIVE
David Myers,vcox@example.net,3070165677,25,19637,"3593 Shaw Coves Suite 732 East Jonathanhaven, DC 81946",2021-08-15,active
Amanda Lee,jilldudley@example.org,(322) 512-8955,45,7028,"12470 Joy Crest Nicholsville, LA 45932",2020-05-12,inactive
Yvonne Brown,david20@example.com,(119) 674-7164,46,3857,"2518 Steven Pine New Katherine, OR 25616",2023-11-13,inactive
Johnny Hardin,franklara@example.net,(246) 145-5137,62,15163,   ,2023-04-26,inactive
Ashlee Valdez,krystalhenry@example.com,(766) 321-9955,115,9093,"33658 Jessica Cape West Samanthachester, KS 50164",2025-01-13,active
David Horn,davisdebra@example.org,(977) 264-3424,47,4453,"804 Bonilla Isle Suite 739 Lake Grace, NY 63301",2021-05-10,INACTIVE
Michelle Tran,christopher07@example.net,(133) 874-4134,20,6511,"8953 Kimberly Landing Lake Davidview, TN 04416",2024-02-06,active
,james01@example.com,(784) 160-1757,38,43586,Unit 5280 Box 0115 DPO AP 89584,2020-04-28,ACTIVE
Daniel Johnson,kristine00@example.net,(995) 770-4429,57,11566,"5414 Kyle Walks Apt. 331 Conradfurt, AK 93176",2023-06-20,INACTIVE
William Graves,justinflowers@example.org,(471) 906-8217,45,37449,"817 Mclean Forest Suite 846 New Andrea, UT 95969",2024-11-10,active
Allison Owens,edwardsjennifer@example.org,(994) 129-8892,33,-442,"6881 Daniel Coves Apt. 698 West Annfort, CO 47763",2023-02-05,INACTIVE
Casey Fernandez,michellelester@example.com,5220418348,19,7747,"52579 Moore Court Fitzgeraldburgh, AL 25519",20/6/2023,ACTIVE
Denise Day,william36@example.org,(597) 786-6833,42,10655,"001 Cory Hills Apt. 879 Coreychester, KS 59277",2024-10-13,active
Chad Ortiz,goldennicholas@example.net,(342) 214-8464,109,6747,"00973 Cynthia Unions Suite 371 Kellyhaven, AZ 39669",2022-01-11,active
Ethan Perez,robertsmisty@example.org,(637) 544-1015,63,4295,"3037 Joseph Courts Suite 232 Ryanfort, ND 17776",2020-07-05,active
Anthony Christensen,cfrye@example.org,(172) 903-2059,53,9377,"03252 Glenn Mountain Suite 209 Donovanfurt, ND 64130",28/11/2020,inactive
,james56@example.net,(628) 733-6624,58,-253,"892 Dana Alley West Jamie, SC 85973",2023-05-11,INACTIVE
Megan Wolf,ierickson@example.org,1533542500,29,16165,"75662 Jackson Plains Suite 358 Joshuaton, FL 74836",2025-02-27,active
Hannah Wilson,calderonbrett@example.com,(520) 560-4038,56,14611,   ,2022-11-23,active
Christopher Rogers,tammy99@example.net,(972) 622-8782,unknown,3134,"8169 Franklin Ridges Apt. 467 Port Conniechester, TX 47037",2022-02-07,ACTIVE
Michaela Hernandez,james63@example.net,(354) 163-1684,25,10070,Unit 8170 Box 2595 DPO AP 96566,2024-05-27,INACTIVE
Candace Thompson,avaldez@example.net,(303) 791-1583,35,3346,   ,2020-12-02,pending
Nicole Thomas,ryan09@example.com,(238) 950-1378,106,369,   ,2022-08-02,active
Larry Parks,zjensen@example.org,(190) 864-3902,54,-4134,"150 Taylor Corner Suite 037 Hectorburgh, NJ 01778",2023-11-17,active
Amber Wood,sharonberry@example.org,3030066954,62,11217,"43777 Gordon Common Apt. 436 West Russellport, TX 45535",2021-11-23,ACTIVE
Eric Perry,cynthiachoi@example.org,3609903110,20,-392,"6788 Sanders Drives Suite 242 New Cherylstad, NV 96546",2022-04-09,INACTIVE
Christopher Norris,laurenmoore@example.net,(325) 725-2643,36,-4639,"1092 Cody Terrace Apt. 417 Fuentesfort, MO 23437",20/11/2024,ACTIVE
